Yelp Review Text,Classification,Reason
"I bleed SPG loyalty blood to the point where I will walk or drive an extra 15-20 minutes to stay at a Starwood property just to get the points, but if the Westins downtown are booked again...I think that I may have to reconsider my tactics, because The Tremont is a dump.  This property is an embarrassment to the brand. Three things come to mind. 1) The room's wallpaper and paint were perhaps current when leisure suits were legitimately fashionable. 2) The hotel doesn't have a gym or a restaurant. 3) I called down to the front desk because someone literally stole the cord off the back of the television and I wanted to watch the news, but there was no answer. What kind of @!#$%!@#$ hotel doesn't answer at the front desk? I ended up calling six times and never got through to the front desk, so I finally just took the one (yes, one) elevator down there. I couldn't find a single person who works for the hotel. Stay classy, Tremont. I won't be back.",1,"""but if the Westins downtown are booked again"" comparing to another hotel"
"I'm a SPG Platinum member and can't believe that Starwood even keeps this property in their portfolio. I'm writing from the dingy room as we speak. Pro: It was $100 for a Thursday-Sunday room in early December, when prices usually spike around the Magnificent Mile. Cons: only 1 (slow) elevator, very old and dingy decor, poor front desk service, no movies, very few electrical plugs. I could have chosen between the Hampton Inn and Tremont. I stayed at the Hampton a month ago and should have stayed there again. Yes it's cheap and close to Michigan Ave, but if you are a business traveller and accustomed to SPG standards, this is not your place!",1,"""I could have chosen between"""
"Pros: fantastic location at a good price, stately building, big comfortable bed Cons: slightly smelly room, horrible hot water pressure, no on-command movie TV system, front desk usually unoccupied Overall: would use again, but first would try other comparably-priced hotels in same neighborhood.",1,"""first would try other hotels"""
"I stayed here a couple of times in 2011, as this was the hotel-of-choice for my sister's wedding last summer. It definitely had a lot of charm, but it was quite outdated and a bit run down (peeling wallpaper, for example). The elevator was INCREDIBLY SLOOOOOW - and just one passenger elevator for 16 floors meant lots of waiting around. (There was a service elevator that some used instead, but it was equally as slow.) For the location and the price, though, it's a pretty good place to stay.",1,"""instead"""
"let us begin with the seven min wait for the one elevator. we get to the room and the key card will not work. the new one works after 4 or5 swipes. the a/c works great after eight hrs. if one person wishes to take a shower and the other a bath you are in luck because the tub does not drain. also if you are not sure if you should be green and use only one towel, the tremont makes this easy! They only give you one towel per person. I must say it really is in a great location and the people that work there are really nice, This place just needs lots of work.",0,
"This is an older property, so the decor is dated. This is not up to par with other SPG properties. No gym. A sparse continental breakfast of desserts and cereal is provided in the adjacent Ditka's restaurant. My bf is an SPG platinum elite member. Daniel upgraded us to the penthouse suite three days before our reservation. However when we arrived, it was unavailable due to construction. We were transferred to a suite in which one shower did not function, and the bathroom reeked of urine. We complained to the manager, who stated she did not smell anything unusual. With the help of our SPG representative, we switched to a different hotel.",0,"word ""older"" but not used comparatively"
"Traveling on a budget is what brought me here. If I was not I would have been at the Sofitel or the Grad Hyatt. Location, location, location is the draw here. Located near North Michigan, and Rush is very convenient. Initially we had a queen and requested to upgrade to a Kind facing the front. They did this without any extra charge. Kudos to the staff for being accommodating. I have to warn you though, the carpet mixed with the burning candles they have throughout the lobby was nauseating to me. The carpet needs to be changed in the lobby as well as in the elevator. The floor and the rooms were fine thought, Thank God! This hotel has so much potential to redeem it's old world charm, but it seems like money may be tight.",1,"""I would have been at the Sofitel or the Grad Hyatt"""
"Small Rooms....one elevator that takes forever to come down to the first floor. Had a second elevator or service elevator, but it did not work at all. The elevator that worked could only hold 5 people at a time. One plus is the location.  Ditkas was Awesome and right next door.",0,
"Great location, terribly outdated. Feels like my grandmother decorated it, complete with overwhelming smell of cranberry potpourri in the lobby. Nothing extra, no frills, no service, no greeting when you walk ing. You can pay $5 for muffins and coffee in the morning, no eggs, no room service. If you're on a budget, at least it's clean, maybe not comfortable.",0,
"As Martha would say, ""What a dump!"" Although not without its charm, the Tremont is old and with the apparent exception of the penthouse suite described below, not very well kept. The elevator creaks and makes thumping noises. My room smelled mildewy, the wallpaper was peeling, and the paint was chipped. The AC (which had an ""on"" setting and an ""off"" setting) pumped dusty air through a rusty vent surrounded by a corona of water stains in the ceiling. At 11:30 pm, I awoke to the sound of a door slamming over and over and over again. I staggered out into the hall to confront whatever ingrate was making the noise only to find that the elevator was stuck on the floor and the door was opening and slamming shut. During my three night stay, my key card magically deactivated four times. Don't be fooled by their website, which lists room amenities that you may find within. There is no room service, no in-room coffee pots, and when I asked about the promised in hotel ""fitness center,"" the desk clerk said I could go to the Westin Hotel around the corner and, once they called the Tremont to verify my status as guest, use theirs. The TV in my room offered a dim, warped, off-color view of the five available channels. There are no window screens and a card on the desk cautioned that opening a window would lead to bugs, attracted by the lights, flying into the room. Because I am soft, I gave the place three stars because the employees are polite, helpful, and well-practiced in coping with angry guests. The lobby is also gorgeous and I had a pretty decent view of the Hancock out of my window. It is also cheap as hell for a hotel off Michigan Ave. Still, if you are looking for a hotel with more comfort and less character, and you can afford it, stay somewhere else.",0,
"My husband and I came to Chicago for a week and decided to stay here. The price was right and it's in a very convenient neighborhood. Yes, it's old and small but we had a good time here. We stayed in a room with one queen bed and it was more spacious than I thought it would be. You could tell one wall had some water damage at one time, but everything was clean and everything worked. I didn't deal with the staff besides checking in and out, but the people I did speak with were friendly. There weren't a ton of amenities but I didn't come to Chicago to hang out in my hotel room. The train is only a few blocks away and you're surrounded by tons of places to go shopping. I would definitely stay here again.",1,"""more spacious"""
"My mom stayed here 4 or 5 years ago and loved its quaint charm, so when she met me in Chicago at the tail end of a business trip, we were excited to find that Hotwire had placed us here. Things have apparently changed. No room service, no vending or ice machines on the floors and no in-room coffee. The room was clean but a bit beyond ""charming"" in terms of falling apart. The blinds were broken in the bedroom and there weren't any in the bathroom, so you got to pee and shower in full view of the church below and the adjacent corner of hotel rooms. The water didn't drain out of the tub, so by the time I finished a quick shower, I was already shin-deep in water. SICK. The elevators were terrifying. I am all for old, quaint, authentic and charming but this place has really let itself go. Get me some coffee in my god-damned room and some ice machines so I can keep my champagne cold and I'll stop bitching. Promise.",0,
"Stayed here over the Jan 15th weekend. The location is perfect! Close to Michigan Avenue, train and of course Giordano's. Inviting entrance to the hotel with a canopy with heat lamps when you walk up. The elevator is small and a little rickety but it does the job. I would bring your own towels as the hotel ones are a bit scratchy. Didn't encounter the hotel staff much, just at check in/out -they were polite. I would stay again when in town.",1,"""The location is perfect"" superlative"
"Checked into the room for the Cubs-Cardinals series in early August. Found the rate online and my critieria was cheap so I guess I can't complain. Location was great. Steps from Michigan Ave and Rush St. On the down side, as we were checking in, a woman at the front desk was asking how to make the tv work, because she could only get a couple channels. ""Oh...sorry...our cable is out until next week."" Yeah...right! That should have been the first sign that this long-in-the-tooth motel was going to be no-frills. So, not only is the tv limited to local only snow-casts, but having imbibed on great Chicago chow, I soon discovered that the toilet takes about 10 minutes and 5 or 6 flushes to disappear the package. Yucko! Still, with its proximity to just about everything, it was quite a bargain for 3 nights ($159 per). Just would have appreciated a little love on the bill after the cable outage. Ditka's adjoining restaurant made it barable.",0,
"This is a gem of a hotel just off the Magnificent Mile. The rooms are nothing to get excited about, but the location and the staff make it great. If you're looking for the typical big chain hotel room, this isn't it. If you want a quaint hotel, with comfy beds, hot water, and clean sheets, this is perfect. Great rates available just check the hotel sites for deals. Ditka's place is right next door for eats, and Starbucks is across the street...perfect!",0,
"Breakfast no longer free, but the wifi is. The staff were friendly and responsive, and the price-for-location hard to beat.",0,
"In some aspects I have to agree with Sam from Indiana. But, I do have to say when we get away, SERVICE is a huge thing. Zaiia at the front desk and the Bellman Tom were very nice to us through our whole entire visit. Valet Parking = $49/day with in and out privileges. (We walked or cabbed it everywhere) We too received this through Hotwire...",0,
cheap hotel for the location.. i paid under a 100 bucks a night (not including tax)... as for the hotel itself.. it's a bit dated.. however the bed is really comfortable.. towels are relatively soft too there's only 1 elevator available for customers.. however they will open up the service elevator if it's busy.. the wifi is free and pretty quick too..,0,
"I can't imagine paying full price to stay here. We got a deal from a travel site, which made it worthwhile because the location is terrific. The photos on yelp seem to be professionally lit, and very misleading. If I had paid full price, I would have been pissed. But, if you're the sort of person who can deal with a youth hostel, then you'll love it here! The lobby is clean and inviting, but the charm disappears after that. Our room was small, dingey, with blistering walls, painted on crown molding, and worn drapes. No refrigerator or anything, so don't bring home any leftovers. But, on the bright site, the bed and sheets were very clean. The mattress seemed quite new--I'm a mattress inspector the instant I walk into any hotel room. The shower had AWESOME water pressure and got quite hot quite fast, and the AC could pump a lot of cold air in fast. I imagine this place was quite the jewel like 30 years ago. We did bring some leftovers into our room that got a little smelly (before we realized there wasn't a fridge) and my husband took the bag of food (from Frontera, so sad we couldn't keep it!!!) to the concierge and explained he wanted to throw it away. The guy gave my husband directions to the dumpster out back!!! OMG. Even a Ramada concierge would say, ""Oh, let me take that for you sir."" So, anyhow, if you're looking for a place to sleep, take a hot shower, and have zero expectations beyond a clean, safe place to sleep, this is your spot. It is withing walking distance of a LOT of awesome stuff. But PLEASE go find a deal somewhere on line!! If you're looking for romance, indulgence, pampering: run away!",0,
"So get this yelpers....I had the WORSE flying experience this past October(09) from SFO to Ohare...I'll yelp that botchjob in a sec, but anywhoo, I called the hotel after landing and mentioned that I was just making sure all was well, due to EVERYTHING ELSE going wrong that day. And when I get to the Tremont, ya wanna know what happened? "" You sounded so stressed out on the phone earlier we upgraded your room"" Pimp. Nice. I didn't even know they had rooms that large..and they got Ditka's to take our order at closing, and the hotel delivered our food to our door.In fact they pretty much spoiled us our whole visit(they even played gatekeeper for an annoying relative of mine..we of course tipped them for it) I love these bitches.See you in october 2010!",1,"""WORSE"""
"For the money.. it was a great hotel. Clean, great location, comfortable and fabulous staff. I enjoy older hotels with character.. The Tremont fit the bill. Great views, There weren't an abundance of tv channels, but the picture was clear and I sure didn't travel to Chicago to stay in the room and watch tv. and would prefer not to pay higher rates so others can. I would so stay here again. I wish I could remember the desk clerks name .. she was awesome in answering questions about the area.",0,"""older"" comparative word but not used in a comparative way"
"I agree that this place is pretty small, but in the city it's hard to find a place this cheap that isn't. The value is huge with this place. It's in a great place, standard high-er end rooms, and above all pretty quiet. We stayed Halloween weekend and had no issues with hearing people in the hallway/people hearing us. The crowd seemed to be mixed, some young some older so I was little worried about noise level, but nothing happened (which is more than I can say for some of my other hotel visits). I mostly interacted with the night guy. He was great. Really knew a lot about the hotel/area and he was very friendly- even went out of his way to find me a lighter :) The biggest downside was really just that they never asked if we needed more than one key, so at a few points in time I got locked out of the room and had to call someone to let me back in... but that was pretty minor :) Can't wait to stay again!",1,"""other hotel visits"""
"My fiance and I vacationed to Chicago for 5 days & 4 nights; he picked The Tremont. At first, I was confused on the hotel: do I like it or hate it? The lobby is old fashioned in the sense with beautifully decorated with wooden crown moldings and leather sofa's. The receptionist didn't acknowledge us when we entered or exited, however, they were very attentive when I needed something. (IE: I wanted more towels & i got them in less than 5 minutes). The room was average, but very clean. At first, I was annoyed at how different the room looked in comparison to the photos, but my fiance made me change my mind: were we there to stay in a room the whole day or were we in Chicago to sight see? He was right: who cares? The best part: it was cheap ($85 a night) and walking distance to SO MANY attractions: a block away from million mile, short walk to the beach/Lake Michigan, 2 blocks from the Chicago Trolley, short walk to several bars and restaurants, to name a few. They also allowed me to receive and send faxes for free! For the price other hotels were charging, I would definately recommend this place!",1,"""how different the room looked in comparison to the photos"""
"Realy small hotel but it's in a great location in downtown chicago. The rooms itself are pretty well maintained. The lobby is fairly nice. Elevators are small, I don't know if that's the theme they are going for, cozy.... The price isn't that expensive considering you are in downtown chicago. A decent room with an okay view ran me up about a little over a hundred a night, though It's all about location location location. I almost never saw the staff other than check in and check out, maybe that's a good thing... I'd come back again if I'm ever in chicago.",0,
"Great location for walking to any part of downtown Chicago you could want. The hotel was old, but not in any way that caused any kind of problem. The lobby was very nice; I understand it had recently been renovated. The room and other areas were clean, the staff was friendly and helpful. The water in the room was hot and had good pressure! My only complaint was that the walls were a little thin, so I could hear my next door neighbor. Luckily he seemed to be a Japanese business man who didn't do anything other than talk on the phone and watch TV, but a different neighbor could have been a different situation! Overall, the hotel was a great value for the location, and very clean and comfortable. I would stay there again!",0,
"Excellent location right down the street from Michigan Ave and John Hancock building. Can't forget free wi-fi and breakfast. The hotel is old, and the elevator is a bit scary at times, but it really was a value and we would definitely stay here again.",0,
"Great location for a good price. Book it directly on their website and get the AAA price for the best deal. Hotel has that old Chicago charm. Bed was comfortable and the room was clean. Bathroom appeared to have been updated in the past few years. 32"" flat screen in the lowest cost room. (single queen) Was able to connect my laptop to it and watch videos. Could tell that the woodwork in the rooms was old, probably the original. But it was still in good condition and fit the building. They have some kind of incense/oil going in the lobby and it might be on the strong side for some people, but it didn't bother me. Continental breakfast is available at the Mike Ditkas next door for $5 a person. It isn't anything special but what's there is decent. Overall it's a very nice hotel. I dont need much for amenities above a clean room and comfy bed and this hotel fit that perfect. Free wi-fi is an excellent bonus. For the money, it was the best deal in town if you dont need 5 star accomodations. One quick note, during my stay in March 2011 the building next door was being torn down so the construction crews were working early weekday mornings. I'd expect that a new hotel is being built and would take some time once the demo is complete.",0,
"Paid $140 for a room on this past Thursday. It was a last resort after the Sofitel was booked up and most of my coworker were staying there so I needed to be close bye. Boy did I get the shaft on this business trip. I normally stay at the Sofitel which is amazing but this hotel can't compare in any way except the location. The check bell hop was very nice but besides him, the staff was not very helpful and kind of rude. I was told nothing about the hotel when checking in. I was barely spoken too actually. The room looks ok when I walk in, it was clean but older looking. The nightmare came at 2:30 am when I heard the couple next door having a good time soo clearly I felt like they were in my room. The walls were soo thin and the doors had more than enough room on the bottom for sound to come through. At 5 am the same couple wakes me again as they are getting ready and leaving their room. I finally fall asleep again just to be woken up by the cleaning staff cleaning that room at 7 am and again it sounded like they were in my room. I will never stay here again.",1,"""I normally stay at the Sofitel"" different hotel"
"Location is AWESOME. It's across the street from Water Tower. If I was doing a girls night out, I would stay here! Yeah, the room we got was small. But this is an experience! It's a beautiful, historic hotel! The room design is different...artistic, some of my friends loved it! Some-hated it!",0,
"40 minutes to check in ... Drafty windows which made the room damp on a very rainy day and the heat is shut off in the summer (It was 57 last night) The sink stopper was broken, the shower backed up. The elevator makes you feel as if you are being buried alive (if it is working) otherwise, you get to use the service elevator from the kitchen. Which smells awful! All for 300 bucks a night! There was a convention in town and am sure prices were raised accordingly. It's like camping in Goldcoast! Here's the best part - I asked the front desk agent to call me a cab ... She walked me to the front door and whistled and walked back inside ...",1,It's like camping in Goldcoast!
"Another Travelzoo deal at an awesome price of $99 per night. The Tremont is located just a few blocks off the Magnificent Mile on Chestnut, right next to Ditka's. The lobby is narrow and have some seating in cozy groups with little candy dishes scattered around. My first impression upon checking in was that customer service is not their high suit. More to come on this in a moment. I get my key, some maps and a reminder about the free internet and breakfast in the morning served next door at Ditkas for $5 (free with my package but I pass so I can't speak to this). I get up to my room and open the door. The room itself is spacious for what it is. There's a separate sink vanity and spacious closet and roomy bathroom with shower over tub. The plumbing hardware was a bit off and needed a serious update because they were circa 1960s (think Edward Scissorhands ). The bed was very firm and the fitted sheets were shallow on the corners so if you were making cupcakes, they'd totally flip off (see picture). Another sign of this hotel's age was that the window coverings were old mini blinds. And another pet peeve for me is the linens. These were of inferior quality with a funky Motel 6-ish comforter/quilt and not a down comforter embraced in a high TC duvet. Yes, I have been spoiled with my Calvin Klein linens. Back to the service... Upon departure and asking for a copy of my statement for expense reimbursement, service was of 'eh quality. The response I got was my stay was prepaid (i.e. ""I'm not going to waste my time printing one for you""). I then explained I needed a copy anyway for reimbursement, then silence and no eye contact (i.e. ""I'm going to ignore your request""). So, annoyed, I then walk out but oddly get my back yelled at in a very loud tone (i.e. ""Ma'am!"" ""Ma'am!!""), 3 times, until I make it out the front door, keep in mind, there are 2 other guests in the lobby watching this unfold.. Unprofessional methinks. Hmmm.... Overall, for the price and the fact that I only had to spend 7 hours in the room, it was good enough.",1,inferior quality
"For the love of God, whatever you do, DO NOT take room 307. Suffice it to say that I would rather set my hair on fire than spend two minutes in that room. Shudder! After asking for another room, was pleased with what I got. The decor is a bit ""Quacker Factory-ish"" ala dried floral wreath, plaid pillow shams, etc. but overall, the room was clean, the bed comfy and the housekeeper..the nicest person I have ever met in a hotel!! The hotel is a bit older but you cannot beat the location. Enjoy the room for what it is, a place to sleep whilst in Chicago. Enjoy!",1,I would rather set my hair on fire than spend two minutes in that room
"Decent price for downtown Chicago over a weekend. Our room contained a air system which only produces heat in the winter and cold in the summer, so if it's one of those 80 degree days in February or March, I suppose you're screwed. Piano in the lobby needs tuning. Lobby is adjacent (attached opening) to Mike Ditka's. Bed excellent, TV above average, bathroom and cleanliness meet the standards.",0,
"We celebrated our one year anniversary by going downtown Chicago, getting a hotel room, and going to dinner and having drinks. This hotel was by far the worst hotel that I have ever stayed at. The room was cold one second, and than unbearably hot the next. Everything was extremely old, and out of date. The bathtub was very dirty, and the carpet in the room looked like it hasn't been shampooed in over a century. I've stayed at motels that were better than this. The one star that I gave to this hotel is for it's location.",1,"""worst"" ""better"""
"Some rooms may reveal the building's age, but all was clean and working just fine. What makes this place special outside of the excellent location is the warm and helpful staff. Around the corner, the Westin's well equipped gym is at your disposal.",0,
"If you want a reasonably priced, clean, non-chain downtown Chicago hotel that's close to the Gold Coast, Mag Mile, CTA, etc. and can live without trendy decor or practically any amenities, this is a good option. As others have said, the decor is outdated, but the antique-like furnishings do give this place character, and it's very clean. You can't beat location -- stores, restaurants, lakefront, etc., are all very walkable. With the exception of wi-fi and shampoo/handcream in the room, this place offered absolutely no amenities -- even the free continental breakfast they offered last time I was here is gone, and they charged me $3 to store my luggage for a couple hours after I checked out -- every other hotel I've ever been to does that for free. All in all, I wanted a reasonably priced, clean, convenient place to crash while I was in Chicago, so this was a great option, but on trips to Chicago where my company is paying or I want a little more comfort, this would not be at the top of my list.",0,
"This hotel is OLD. Peeling paint, slow creaky elevators, dirty/scuffed baseboards, and ancient light lamps, wallpaper, and decorations. In my room, the walls actually had pretty sizable holes in them under the headboard and desk. The sheets were rough and I even felt the hard springs inside the mattress poking me a little as I tried to sleep. That said, the location is good (it's close to Michigan Ave and the Chicago Red Line stop), the price is cheap (even last minute), and housekeeping is phenomenal at keeping things immaculate, even if you don't leave your room until the afternoon. There was also free wifi, which improves pretty much any situation.",0,
"Don't kid yourself, you're paying for location and not much else. Mind you, the staff was nice and attentive, but that's mostly because they know it's the only thing that they've got to cling to. The facilities are atrocious. ""Quaint,"" or ""charming,"" or ""has character,"" would apply if the rooms were small but well maintained and attended to, which they aren't. The shower had barely warm water and backed up such that I had water about 4 inches deep by the end of my short, cold, shower. The images shown of the hotel are of the, admittedly, nice lobby and the penthouse suite. The actual room we stayed in? Comparable to the YMCA room I stayed in while on spring break in New Orleans during college. If it were anywhere else besides 1 block off of Michigan Ave., the phrase ""seedy dive"" would spring to mind. I really don't want to waste anymore of my time on this place, so I'll stop now. PS, we got it through Hotwire and they claimed it to be a 3 star ""boutique."" Crazy.",1,"""Comparable to"""
"I arrived at the Tremont this past weekend for one night only. I was staying in Chi Town for 2 nights but due to a convention in town this was the only hotel that had availability for the night and for $155 for the night I was more than willing to stay since I was getting rooms around the area for the rate of $350 and up! Lets just say here you are only paying for location. I ve learned that the ""older"" hotels are just NOT MY THING. The hotel lobby is pretty and leads you to believe the rooms will be the same. The staff was meh and the room, oh God the room. The room was so outdated! We had a one bedroom but for whatever reason it was two rooms combined into one (score!). For just two people it was pretty spacious and with two bathrooms and two tv sets then I guess I cant complain, but really I have to! The room smells like your grandmothers house and with the fixtures to boot! The carpet stunk, the sheets were stiff, the fixtures were old and dusty and lastly the bathrooms were old and falling apart. One of the bathrooms showers had brown water coming out of the faucet for the first 2 min! Since I only stayed a night I guess it could have been worse...thank goodness. - I also wish I can write a review about Ditkas since its downstairs but it was packed the night I wanted to eat there so I guess that says something good!",0,
"I have a fondness for older hotels that are a little down on their luck, so I ignored all the moaning around (on several sites) about the Tremont being . . so . . . so . . . OLD! Yeah, well--my wallpaper is peeling too. I found the Tremont to be very comfortable if a little overpriced (what downtown hotel isn't?) From my twelfth floor room I had a lovely view of the Lake--or would have if that damn Hancock Building hadn't been in the way. The Tremont is close to all the shopping on the Magnificent Mile, the Looking Glass Theater, Water Tower Place, the Hershey Store, Bistro 110--all the jostle and jump of the Water Tower neighborhood. Even though the Tremont is no more than a block from all the activity, Chestnut is a peaceful enough street that my room was quiet at all times. The Tremont staff seems polite and helpful; the bathroom seemed recently updated. The Continental Breakfast ($5.00) was only okay, but it was a sufficient jump start on Saturday morning. I was very happy with my stay at the Tremont and would recommend it to anyone except the most persnickety Felix Ungers out there.",0,
"Well this was an interesting place. I went to Chicago for one night with a group of friends (six of us) and we found the Inn at Lincoln Park by chance. Managed to book a room with two beds for just around $60 after fees, with a military discount. The hotel is really quite charming in an old boutique sort of way, but it is by no means fancy or super clean. Our room was very cool - used to be two rooms, so it had two walk-in closets and two full bathrooms. Since we are young and were just looking for somewhere to sleep for one night, it worked really well. I don't think I'd go back there with my family, though. Downside: I don't think they had cleaned the comforter OR sheets in a while. There were some interesting stains on them and the wall. We avoided these by using our own blankets and pillows. Perk: They have free breakfast downstairs every morning. Pretty decent. And they didn't seem to care that six of us were staying in one room.",0,
"Well..... I don't know where to begin.... Do I start with the room with no blinds.... or maybe that the TV didn't work... OH I know... the fact that the A/C didn't work!  A/C not working... We rented 2 rooms for 2 nights...135/night during NATO weekend, so we werent expecting a whole lot and thats exactly what we got. Only in 50% of the rooms the A/C worked. it would go on for about an hour and then just hummmmmmmmmmmmmmmmmm the rest of the night. We had corner rooms so there was plenty of light, 2 HUGE windows on 2 walls... the only problem was that 50% of the rooms didn't have freakin blinds!!!!! One of the walls faced West so, hello sun at 6:15am. Not a good thing when we were there for a bachelor party.  So being the lacrosse fan we are, we wanted to watch a little NCAA lax before heading out... only one problem, 50% of the 46 inch flat screens didn't work!  Couldnt find the "" Free High Speed"" WIFI. I will give credit where is it due... the bathroom was nice and large and the beds werent the worse I have slept on. The building was perfect placement for us.. close to Wrigleyville and Down Town. We brought all items to attention of the front desk... many a times it was ""its my first day sorry"" or ""I'll look into it"" with no result. When leaving we explained to them the issues again and we got ""wow your rate was only 135/night we are charging 250/night for this weekend, you should feel pretty lucky"" WTF who says that, fix the A/C!!!",1,"""worse"""
